PID,SalePrice
907135180,132412.12
528181040,201585.34
528175010,212428.22
531379030,193427.4
923275090,122729.1
528181070,240779.19
908103280,132293.61
902201110,126655.164
905103070,141884.78
527162180,180143.03
905450020,147275.12
535301150,144751.28
535451170,84826.93
909250060,209801.62
527254020,351538.97
911128180,84933.62
534475170,166817.72
535402180,119396.57
528235180,181711.81
907200130,128535.54
906476030,197954.58
923203090,166791.47
903454020,71358.9
534277060,118802.875
535450220,124766.24
527252090,337158.22
535300040,133258.5
533241010,220133.16
903201090,108361.14
921128030,366651.6
535180020,146667.1
527106050,172067.33
903233050,136435.83
527105010,176327.64
907196050,212891.62
535375010,74365.91
909455040,180585.27
911370410,284465.2
906223080,209963.34
902204080,87593.805
916225130,282455.28
534400060,164355.38
528178090,351367.34
528235190,187471.77
906477110,159018.77
902106090,132824.56
535327160,114159.32
909129100,119794.4
909281110,231312.48
528188120,164328.56
528150120,322603.12
535125060,228281.64
906380120,182321.8
527451020,124187.766
528429100,288222.16
527132090,232136.55
902427045,120262.35
923276260,136844.88
907290140,142341.66
906380100,299177.62
527377110,173654.19
535379110,135411.64
527427230,192851.25
905105010,135034.17
533215080,289703.94
903484080,67213.9
528441080,245280.08
528120100,230961.78
902301060,97820.54
528231050,194056.36
535353190,153934.1
907201280,133540.03
528315080,289714.72
531375060,149907.14
906200230,189773.92
527451550,121926.125
902103090,106453.38
534401190,144109.69
909425085,296055.53
526352080,177382.62
907126050,151921.62
905352180,210120.39
533212060,148365.83
527356050,154008.98
534479240,151337.98
906226130,134761.31
923228210,78850.23
903227080,121525.16
535179120,118064.54
908201100,83106.27
532479050,136346.08
534402060,141675.89
902109160,115485.51
904302030,157413.19
902300215,139613.8
903228070,106028.555
902406070,137817.45
907410020,180863.27
528365090,331467.62
534450110,53829.51
527146135,324974.0
535325340,134860.95
534452060,114249.5
535325090,131302.64
534202130,136272.23
528118020,317343.34
527214050,512680.66
907401060,209807.83
905104210,121493.87
905225080,243250.16
535178060,133266.75
914476450,172952.27
533250050,265024.72
535450070,142778.77
528181060,240779.19
535454100,137419.78
534476080,141054.38
909452114,230864.22
903476090,123862.375
904101040,128662.96
534431030,129677.16
910202060,103090.79
916386090,269041.72
527451460,97714.52
528290120,194141.5
531375090,143917.12
527403040,146287.55
535453020,143137.88
911175360,103357.375
528228545,174253.75
534275100,123300.08
528142040,344960.9
527357110,153711.11
528480170,309577.28
905226030,105996.195
905104110,140409.62
528480070,253983.45
528386040,392475.1
535453100,131829.62
907192030,192349.81
905478030,133607.42
527210050,422463.3
535382020,105356.54
528110070,347012.9
902303100,148981.75
903456090,93956.41
528186080,309891.28
909275310,242089.31
908128100,178015.08
908102140,134646.2
531385060,178865.44
902103100,135672.62
528106010,399355.1
534430080,128230.67
533252130,171445.2
528458160,312507.12
902300110,98329.35
528228275,197794.55
907130060,161494.47
905105190,130045.35
908225240,99943.195
528480060,279053.84
526355170,237534.14
902105010,92907.39
903225160,123716.11
924151050,215801.47
535456010,133706.08
907130110,185802.39
909451040,116824.32
535126140,211931.84
533253050,171331.94
905480240,92811.39
905479110,115337.03
903233140,126725.97
909254070,190716.47
907250020,265500.84
908102260,146991.67
527403360,118263.44
906225210,148711.9
527359010,167373.39
905100030,138007.38
909250030,107222.55
908225320,126035.47
905201030,71459.76
914474020,234208.6
532479020,144322.31
528228575,255608.58
527107240,178078.08
533253210,194471.53
527127150,209925.52
531450120,199325.34
905427050,186338.47
527258010,342312.62
906476140,170582.12
533236090,387804.22
908103090,116599.81
908250090,100431.055
528181010,218473.39
907227090,130977.48
527302185,225110.33
535426150,142134.94
909254100,159938.77
531382120,192519.56
921201060,300256.1
528180140,385501.8
905402090,160488.2
902207120,95197.31
902134100,77962.58
908178050,237033.58
535451210,104709.75
528114050,339212.7
907203010,130263.44
534151175,240495.08
908228040,115223.13
902110080,132125.53
923277040,137597.88
908204160,82319.75
905402110,112702.516
905102060,134098.89
902402010,140913.06
527107130,186677.67
909251030,137858.2
903225040,126192.91
902405120,113829.695
534201280,133003.55
527451290,96714.36
905451390,151140.67
528456200,200618.55
902110130,90135.414
528112010,244664.23
905226130,146586.27
905108120,144822.39
532353120,120380.31
528120030,339510.44
527450110,98504.77
533244040,309851.7
910205120,108603.85
535452100,133962.38
528106050,425430.53
909100170,87063.95
531453040,187104.55
535304060,128107.46
528431120,248814.53
904100170,149476.88
528218090,174448.28
527131110,268321.7
533208010,201441.2
906226080,131428.55
535152200,128594.266
528231020,179553.52
911128010,107528.94
527455250,125453.02
535403150,141815.39
533251110,277741.47
535457010,156674.81
528110040,440905.75
923252080,120342.55
909101010,116648.305
535177110,167115.64
528354050,290528.44
528235000,175476.8
909252150,140674.06
909275110,193070.42
534427040,154546.45
535151080,147788.11
923226320,81116.32
535450210,137439.58
905403050,84049.28
535382150,84838.49
535176070,147388.66
905103140,155303.22
534201260,144781.38
531451110,121207.78
528348010,298363.3
527212050,435070.2
532377130,144903.34
535325320,120934.945
535383110,91394.6
531450030,202891.45
903401020,168796.67
531363050,147393.98
528358030,355334.25
528456230,201024.38
903227140,120469.77
909179020,182921.95
905202090,111898.74
535453040,131601.77
535302130,137464.75
528480040,259113.89
905104180,129141.414
534451050,112898.625
531452010,147387.11
923228220,82119.64
903233100,133115.98
906392080,181736.6
903232090,142464.84
903426200,155783.55
903451110,128144.73
909250150,177153.39
527180040,194569.11
909253080,190522.48
534431130,118423.695
921205070,339116.94
527105060,175585.44
528290140,180331.42
527451110,126635.48
